l-down,0,141,62,229,293
l-down,0,140,63,228,293
l-down,0,141,62,229,293
l-down,0,141,62,228,293
l-down,0,141,62,229,292
l-down,0,139,63,230,291
l-down,0,140,64,231,290
l-down,0,141,64,231,290
l-down,0,140,63,230,290
l-down,0,141,63,230,290
l-down,0,142,62,229,291
l-down,0,144,61,230,290
l-down,0,146,61,230,290
l-down,0,147,60,231,290
l-down,0,148,60,232,290
l-down,0,148,60,232,290
l-down,0,148,60,233,290
l-down,0,148,60,234,289
l-down,0,148,60,236,289
l-down,0,149,60,235,289
l-down,0,148,61,235,289
l-down,0,148,61,235,288
l-down,0,148,61,236,288
l-down,0,146,61,237,288
l-down,0,146,61,236,289
l-down,0,147,60,235,289
l-down,0,146,61,236,288
l-down,0,146,61,236,288
l-down,0,146,61,238,288
l-down,0,146,61,237,289
l-down,0,147,60,238,288
l-down,0,147,60,238,288
l-down,0,147,59,239,288
l-down,0,148,58,240,287
l-down,0,148,58,240,287
l-down,0,147,57,241,285
l-down,0,146,56,241,285
l-down,0,147,57,240,286
l-down,0,147,56,241,286
l-down,0,146,57,241,286
l-down,0,148,57,240,287
l-down,0,148,57,241,287
l-down,0,147,57,241,286
l-down,0,146,58,242,286
l-down,0,147,59,241,286
l-down,0,148,58,243,285
l-down,0,150,57,241,286
l-down,0,150,56,241,286
l-down,0,152,55,241,286
l-down,0,155,54,239,286
l-down,0,156,52,238,287
l-down,0,157,52,239,287
l-down,0,157,52,239,287
l-down,0,156,53,239,287
l-down,0,156,52,238,287
l-down,0,156,52,237,288
l-down,0,156,52,237,288
l-down,0,155,53,238,288
l-down,0,157,51,238,289
l-down,0,157,50,239,289
l-down,0,158,50,239,289
l-down,0,158,50,239,288
l-down,0,160,49,238,289
l-down,0,160,49,237,290
l-down,0,159,49,235,292
l-down,0,158,50,236,291
l-down,0,159,50,237,291
l-down,0,158,50,237,291
l-down,0,158,50,238,289
l-down,0,158,50,239,289
l-down,0,157,50,240,289
l-down,0,157,50,241,289
l-down,0,159,50,239,290
l-down,0,157,50,238,290
l-down,0,158,50,238,290
l-down,0,158,50,238,291
l-down,0,158,50,239,290
l-down,0,159,50,238,291
l-down,0,160,48,238,292
l-down,0,160,49,238,292
l-down,0,159,49,238,292
l-down,0,160,48,239,292
l-down,0,160,49,238,292
l-down,0,161,48,239,292
l-down,0,163,48,238,292
l-down,0,163,47,238,292
l-down,0,164,47,238,292
